,Name,Link,City,State
154,Southwest Florida Fossil Society,http://www.southwestfloridafossilsociety.org/,Punta Gorda,Florida 
155,St Lucie County Rock and Gem Club,http://www.slcrockandgem.org/,Port St Lucie,Florida 
156,Suncoast Gem and Mineral Society,http://sgams.com/,St Petersburg,Florida 
157,Tampa Bay Fossil Club,http://www.tampabayfossilclub.com/,Palm Harbor,Florida 
158,"Tampa Bay Mineral & Science Club, Inc.",http://www.tampabayrockclub.com/,Tampa,Florida 
159,The Villages Gem and Mineral Society,http://www.thevillagesgemandmineralsociety.com/,The Villages,Florida 
160,Tomoka Faceters Guild,http://www.tomokafacetersguild.org/index.html,Palm Coast,Florida 
161,Withlacoochee Rockhounds,http://www.withlacoocheerockhounds.com/,Spring Hill,Florida 
162,Athens Rock and Gem Club,http://www.athensrockandgemclub.org/,Athens,Georgia 
163,Augusta Gem & Mineral Society,http://agams.club/,Augusta,Georgia 
164,Cobb County Gem and Mineral Society,https://www.ccgms.org/,Marietta,Georgia 
165,"Georgia Mineral Society, Inc.",http://www.gamineral.org/,Norcross,Georgia 
166,Mid-Georgia Gem and Mineral Society,http://midgagmsorg.ipage.com/,Macon,Georgia 
167,Rome Georgia Mineral Society Inc.,https://rogams.wordpress.com/,Rome,Georgia 
168,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html,Honolulu,Hawaii 
169,"Hells Canyon Gem Club, Inc.",http://www.hellscanyongemclub.com/,Lewiston,Idaho 
170,Idaho Falls Gem & Mineral Society,http://ifgemmineral.weebly.com/,Idaho Falls,Idaho 
171,"Idaho Gem Club, Inc.",http://www.idahogemclub.com/,Boise,Idaho 
172,Magic Valley Gem Club,http://magicvalleygemclub.org/,Twin Falls,Idaho 
173,North Idaho Mineral Club,http://www.northidahomineralclub.com/,Coeur d'Alene,Idaho 
174,Owyhee Gem & Mineral Society,http://www.owyheerocks.com/,Caldwell,Idaho 
175,Pend Oreille Rock and Gem Club,https://pendoreillerockandgemclub.wordpress.com/,Oldtown,Idaho 
176,Southeast Idaho Gem and Mineral Society,https://www.facebook.com/SEIGMS,Boise,Idaho 
177,Black Hawk Gem & Mineral Club,http://www.blackhawkgemandmineralclub.com/,Rock Island,Illinois 
178,Central Illinois Gem & Mineral Club,http://rmkapta.wixsite.com/cigmc,Decatur,Illinois 
179,Chicago Rocks & Minerals Society,http://www.chicagorocks.org/,Skokie,Illinois 
180,Elgin Rock Club,http://elginrockclub.org/,Elgin,Illinois 
